,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
602399,tt0624340,tvEpisode,Switch,Switch,0,2001,\N,\N,"Drama,Romance"
602420,tt0624361,tvEpisode,Celebrity,Celebrity,0,2000,\N,\N,Talk-Show
602438,tt0624379,tvEpisode,The Hand of God,The Hand of God,0,1957,\N,\N,Talk-Show
602574,tt0624516,tvEpisode,Windfall,Windfall,0,1995,\N,\N,"Action,Drama"
602860,tt0624806,tvEpisode,The Stranger,The Stranger,0,1963,\N,60,Western
603567,tt0625516,tvEpisode,High Water,High Water,0,1965,\N,30,"Adventure,Drama,Family"
603574,tt0625523,tvEpisode,Inheritance,Inheritance,0,1954,\N,30,"Adventure,Drama,Family"
603631,tt0625582,tvEpisode,Sanctuary,Sanctuary,0,1962,\N,30,"Adventure,Drama,Family"
607220,tt0629207,tvEpisode,Collision,Collision,0,2000,\N,45,"Crime,Drama,Mystery"
607279,tt0629266,tvEpisode,Flight,Flight,0,1998,\N,45,"Crime,Drama,Mystery"
607356,tt0629344,tvEpisode,Missing,Missing,0,2002,\N,44,"Crime,Drama,Mystery"
607359,tt0629347,tvEpisode,Mother's Day,Mother's Day,0,2003,\N,45,"Crime,Drama,Mystery"
607370,tt0629358,tvEpisode,Obsession,Obsession,0,2005,\N,60,"Crime,Drama,Mystery"
607416,tt0629404,tvEpisode,Sanctuary,Sanctuary,0,1994,\N,60,"Crime,Drama,Mystery"
607458,tt0629446,tvEpisode,Switch,Switch,0,1995,\N,60,"Crime,Drama,Mystery"
607499,tt0629487,tvEpisode,Venom,Venom,0,1998,\N,46,"Crime,Drama,Mystery"
607521,tt0629509,tvEpisode,Beast,Beast,0,2005,\N,43,"Crime,Drama,Mystery"
607598,tt0629586,tvEpisode,The Good Doctor,The Good Doctor,0,2001,\N,45,"Crime,Drama,Mystery"
607606,tt0629594,tvEpisode,Tomorrow,Tomorrow,0,2002,\N,43,"Crime,Drama,Mystery"
607678,tt0629666,tvEpisode,Home,Home,0,2004,\N,41,"Crime,Drama,Mystery"
607684,tt0629672,tvEpisode,Inheritance,Inheritance,0,2001,\N,44,"Crime,Drama,Mystery"
607725,tt0629713,tvEpisode,Redemption,Redemption,0,2001,\N,44,"Crime,Drama,Mystery"
607756,tt0629744,tvEpisode,Taboo,Taboo,0,2006,\N,60,"Crime,Drama,Mystery"
607851,tt0629839,tvEpisode,Line of Duty,Line of Duty,0,1994,\N,\N,"Crime,Drama"
608065,tt0630053,tvEpisode,The Son,The Son,0,1961,\N,30,Western
608069,tt0630057,tvEpisode,The Stranger,The Stranger,0,1960,\N,30,Western
608756,tt0630753,tvEpisode,The Girl Next Door,The Girl Next Door,0,2003,\N,\N,Comedy
608982,tt0630980,tvEpisode,The Choice,The Choice,0,1961,\N,30,Drama
609068,tt0631066,tvEpisode,Windfall,Windfall,0,1958,\N,30,Drama
609332,tt0631339,tvEpisode,Twilight,Twilight,0,1999,\N,47,"Action,Adventure,Comedy"
609715,tt0631728,tvEpisode,The Whole Truth,The Whole Truth,0,1992,\N,\N,Drama
609918,tt0631932,tvEpisode,Two,Two,0,1958,\N,30,Western
609967,tt0631981,tvEpisode,The Stranger,The Stranger,0,1978,\N,48,"Adventure,Family,Western"
610107,tt0632127,tvEpisode,Dream,Dream,0,2002,\N,21,Comedy
610186,tt0632206,tvEpisode,Ride Along,Ride Along,0,1997,\N,23,Comedy
610628,tt0632663,tvEpisode,Elysium,Elysium,0,2005,\N,\N,"Drama,Family"
610999,tt0633042,tvEpisode,Little Women,Little Women,0,1977,\N,60,"Drama,Family,Romance"
611084,tt0633127,tvEpisode,The Stranger,The Stranger,0,1978,\N,60,"Drama,Family,Romance"
612153,tt0634219,tvEpisode,Obsession,Obsession,0,2001,\N,22,"Comedy,Drama,Family"
612167,tt0634234,tvEpisode,The Longest Yard,The Longest Yard,0,2002,\N,22,"Comedy,Drama,Family"
613435,tt0635509,tvEpisode,The Turning Point,The Turning Point,0,1957,\N,30,Western
613521,tt0635596,tvEpisode,Redemption,Redemption,0,1995,\N,\N,Western
613529,tt0635604,tvEpisode,Thicker Than Water,Thicker Than Water,0,1995,\N,\N,Western
613553,tt0635628,tvEpisode,Beauty and the Beast,Beauty and the Beast,0,1990,\N,\N,"Animation,Drama,Family"
613572,tt0635647,tvEpisode,The Harder They Fall,The Harder They Fall,0,1970,\N,\N,Crime
614099,tt0636175,tvEpisode,True Spirit,True Spirit,0,2001,\N,43,"Action,Adventure,Romance"
614198,tt0636274,tvEpisode,Collision,Collision,0,2005,\N,42,"Adventure,Drama,Fantasy"
614212,tt0636288,tvEpisode,Outlaws,Outlaws,0,2005,\N,43,"Adventure,Drama,Fantasy"
614328,tt0636404,tvEpisode,Blackout,Blackout,0,1980,\N,49,"Crime,Drama"
614369,tt0636445,tvEpisode,Home,Home,0,1979,\N,47,"Crime,Drama"
614374,tt0636450,tvEpisode,Hunger,Hunger,0,1982,\N,47,"Crime,Drama"
614379,tt0636455,tvEpisode,Inheritance,Inheritance,0,1980,\N,49,"Crime,Drama"
614386,tt0636462,tvEpisode,Lou,Lou,0,1980,\N,49,"Crime,Drama"
614904,tt0636986,tvEpisode,Lucifer,Lucifer,0,1984,\N,\N,Drama
615200,tt0637284,tvEpisode,Collision,Collision,0,1975,\N,\N,"Drama,Sport"
615289,tt0637373,tvEpisode,Get Out,Get Out,0,2006,\N,24,Comedy
615796,tt0637881,tvEpisode,The Guilty,The Guilty,0,1956,\N,60,"Comedy,Drama"
616007,tt0638094,tvEpisode,The Healer,The Healer,0,1958,\N,30,"Crime,Drama,Thriller"
616503,tt0638592,tvEpisode,Family Secrets,Family Secrets,0,2002,\N,\N,Drama
616710,tt0638800,tvEpisode,The Wasteland,The Wasteland,0,1991,\N,48,"Action,Adventure,Crime"
616789,tt0638880,tvEpisode,Home,Home,0,1994,\N,22,"Comedy,Romance"
616812,tt0638903,tvEpisode,Mother's Day,Mother's Day,0,1998,\N,22,"Comedy,Romance"
617223,tt0639316,tvEpisode,Echoes,Echoes,0,2002,\N,\N,Drama
617276,tt0639369,tvEpisode,The Circle,The Circle,0,1993,\N,\N,Drama
617480,tt0639573,tvEpisode,Man on Fire,Man on Fire,0,1973,\N,45,"Adventure,Crime,Mystery"
617505,tt0639599,tvEpisode,Obsession,Obsession,0,2000,\N,44,"Action,Western"
618192,tt0640288,tvEpisode,Blackout,Blackout,0,2005,\N,23,"Comedy,Family"
618818,tt0640916,tvEpisode,Aftermath,Aftermath,0,1958,\N,30,Western
620295,tt0642401,tvEpisode,The Harder They Fall,The Harder They Fall,0,1989,\N,23,Comedy
620376,tt0642483,tvEpisode,Mother's Day,Mother's Day,0,2002,\N,\N,Drama
620540,tt0642647,tvEpisode,Beauty and the Beast,Beauty and the Beast,0,1992,\N,23,"Comedy,Drama,Romance"
620844,tt0642951,tvEpisode,Dog Gone,Dog Gone,0,2002,\N,\N,"Adventure,Animation,Comedy"
621371,tt0643481,tvEpisode,Aftermath,Aftermath,0,1957,\N,60,"Drama,Horror,Mystery"
621727,tt0643840,tvEpisode,Run Rabbit Run,Run Rabbit Run,0,1975,\N,\N,"Crime,Drama"
621729,tt0643842,tvEpisode,Sir,Sir,0,1972,\N,\N,"Crime,Drama"
621731,tt0643844,tvEpisode,Sky High,Sky High,0,1973,\N,\N,"Crime,Drama"
621789,tt0643902,tvEpisode,The Son,The Son,0,1975,\N,\N,"Crime,Drama"
621900,tt0644018,tvEpisode,The Ghost,The Ghost,0,1993,\N,50,"Crime,Drama,Mystery"
621929,tt0644051,tvEpisode,The Mother,The Mother,0,1990,\N,\N,"Crime,Drama,Mystery"
621934,tt0644056,tvEpisode,The Nurse,The Nurse,0,1987,\N,48,"Crime,Drama,Mystery"
622013,tt0644140,tvEpisode,Blood Ties,Blood Ties,0,1984,\N,\N,"Crime,Drama,Mystery"
622045,tt0644173,tvEpisode,Shark Bait,Shark Bait,0,1982,\N,\N,"Crime,Drama,Mystery"
622055,tt0644183,tvEpisode,The Good Doctor,The Good Doctor,0,1982,\N,\N,"Crime,Drama,Mystery"
622431,tt0644561,tvEpisode,War,War,0,1987,\N,60,"Comedy,Sci-Fi"
622751,tt0644886,tvEpisode,Beauty and the Beast,Beauty and the Beast,0,1963,\N,30,"Comedy,War"
622922,tt0645057,tvEpisode,Perfect Match,Perfect Match,0,2003,\N,42,"Drama,Romance"
623288,tt0645428,tvEpisode,The Choice,The Choice,0,1972,\N,60,Drama
623302,tt0645442,tvEpisode,The Guilty,The Guilty,0,1973,\N,60,Drama
623326,tt0645466,tvEpisode,The Stranger,The Stranger,0,1976,\N,60,Drama
624017,tt0646159,tvEpisode,The Whole Truth,The Whole Truth,0,1992,\N,46,"Drama,Romance"
624183,tt0646325,tvEpisode,All American,All American,0,1957,\N,30,Drama
624227,tt0646370,tvEpisode,Inheritance,Inheritance,0,1970,\N,\N,Thriller
624450,tt0646595,tvEpisode,"For Better, for Worse","For Better, for Worse",0,2003,\N,\N,Drama
624574,tt0646719,tvEpisode,Thicker Than Water,Thicker Than Water,0,2001,\N,\N,"Crime,Drama"
624840,tt0646988,tvEpisode,Missing,Missing,0,1999,\N,\N,"Comedy,Family,Music"
625045,tt0647194,tvEpisode,Devotion,Devotion,0,1998,\N,\N,Drama
625176,tt0647328,tvEpisode,Blood Ties,Blood Ties,0,1991,\N,\N,Drama
626467,tt0648637,tvEpisode,Inheritance,Inheritance,0,1997,\N,95,"Crime,Drama"
626727,tt0648899,tvEpisode,The Ghost,The Ghost,0,2003,\N,\N,"Drama,Fantasy,Horror"
627058,tt0649233,tvEpisode,Flight,Flight,0,1970,\N,60,"Action,Adventure,Crime"
